全部,#genre#
IPTV收视指南,http://1.203.110.68:8686/udp/225.1.8.201:8012
IPTV热播剧场,http://1.203.110.68:8686/udp/225.1.8.202:9020
IPTV经典电影,http://1.203.110.68:8686/udp/225.1.8.203:9024
IPTV魅力时尚,http://1.203.110.68:8686/udp/225.1.8.204:9012
IPTV少儿动画,http://1.203.110.68:8686/udp/225.1.8.207:9000
城市剧场,http://1.203.110.68:8686/udp/225.1.8.227:4120
军旅剧场,http://1.203.110.68:8686/udp/225.1.8.228:4120
古装剧场,http://1.203.110.68:8686/udp/225.1.8.229:4120
音乐现场,http://1.203.110.68:8686/udp/225.1.8.230:4120
地理,http://1.203.110.68:8686/udp/225.1.8.231:4120
美妆,http://1.203.110.68:8686/udp/225.1.8.232:4120
美人,http://1.203.110.68:8686/udp/225.1.8.233:4120
精选,http://1.203.110.68:8686/udp/225.1.8.234:4120
军事,http://1.203.110.68:8686/udp/225.1.8.236:4120
国学,http://1.203.110.68:8686/udp/225.1.8.237:4120
戏曲,http://1.203.110.68:8686/udp/225.1.8.238:4120
早教,http://1.203.110.68:8686/udp/225.1.8.239:4120
动画,http://1.203.110.68:8686/udp/225.1.8.240:4120
好学生,http://1.203.110.68:8686/udp/225.1.8.241:4120
鉴赏,http://1.203.110.68:8686/udp/225.1.8.242:4120
墨宝,http://1.203.110.68:8686/udp/225.1.8.243:4120
光影,http://1.203.110.68:8686/udp/225.1.8.244:4120
台球,http://1.203.110.68:8686/udp/225.1.8.245:4120
爱生活,http://1.203.110.68:8686/udp/225.1.8.246:4120
武术,http://1.203.110.68:8686/udp/225.1.8.247:4120
高网,http://1.203.110.68:8686/udp/225.1.8.248:4120
足球,http://1.203.110.68:8686/udp/225.1.8.249:4120
武侠剧场,http://1.203.110.68:8686/udp/225.1.8.250:4120
喜剧影院,http://1.203.110.68:8686/udp/225.1.8.251:4120
动作影院,http://1.203.110.68:8686/udp/225.1.8.252:4120
家庭影院,http://1.203.110.68:8686/udp/225.1.8.253:4120
星影,http://1.203.110.68:8686/udp/225.1.8.254:4120
聚鲨环球精选,http://1.203.110.68:8686/udp/225.1.8.67:8002
聚鲨北京,http://1.203.110.68:8686/udp/225.1.8.70:8002
聚鲨生活,http://1.203.110.68:8686/udp/225.1.8.95:8002
CCTV-1 HD,http://114.253.164.179:10000/rtp/239.3.1.129:8008
CCTV-2 HD,http://114.253.164.179:10000/rtp/239.3.1.60:8084
CCTV-3 HD,http://114.253.164.179:10000/rtp/239.3.1.172:8001
CCTV-4 HD,http://114.253.164.179:10000/rtp/239.3.1.105:8092
CCTV-5 HD,http://114.253.164.179:10000/rtp/239.3.1.173:8001
CCTV-5+ HD,http://114.253.164.179:10000/rtp/239.3.1.130:8004
CCTV-6 HD,http://114.253.164.179:10000/rtp/239.3.1.174:8001
CCTV-7 HD,http://114.253.164.179:10000/rtp/239.3.1.61:8104
CCTV-8 HD,http://114.253.164.179:10000/rtp/239.3.1.175:8001
CCTV-9 HD,http://114.253.164.179:10000/rtp/239.3.1.62:8112
CCTV-10 HD,http://114.253.164.179:10000/rtp/239.3.1.63:8116
CCTV-11 HD,http://114.253.164.179:10000/rtp/239.3.1.152:8120
CCTV-12 HD,http://114.253.164.179:10000/rtp/239.3.1.64:8124
CCTV-13 HD,http://114.253.164.179:10000/rtp/239.3.1.124:8128
CCTV-14 HD,http://114.253.164.179:10000/rtp/239.3.1.65:8132
CCTV-15 HD,http://114.253.164.179:10000/rtp/239.3.1.153:8136
CCTV-16 奥林匹克[HDR],http://114.253.164.179:10000/rtp/239.3.1.183:8001
CCTV-16 奥林匹克HD,http://114.253.164.179:10000/rtp/239.3.1.184:8001
CCTV-17 HD,http://114.253.164.179:10000/rtp/239.3.1.151:8144
BRTV北京卫视HD,http://114.253.164.179:10000/rtp/239.3.1.241:8000
BRTV新闻HD,http://114.253.164.179:10000/rtp/239.3.1.159:8000
BRTV影视HD,http://114.253.164.179:10000/rtp/239.3.1.158:8000
BRTV文艺HD,http://114.253.164.179:10000/rtp/239.3.1.242:8000
BRTV财经HD,http://114.253.164.179:10000/rtp/239.3.1.116:8000
BRTV生活HD,http://114.253.164.179:10000/rtp/239.3.1.117:8000
BRTV纪实科教HD,http://114.253.164.179:10000/rtp/239.3.1.115:8000
