全部,#genre#
CCTV-7高清,http://14.19.142.188:8089/hls/26/index.m3u8
CCTV-8高清,http://14.19.142.188:8089/hls/27/index.m3u8
CCTV-9高清,http://14.19.142.188:8089/hls/28/index.m3u8
CCTV-10高清,http://14.19.142.188:8089/hls/29/index.m3u8
CCTV-11高清,http://14.19.142.188:8089/hls/30/index.m3u8
CCTV-12高清,http://14.19.142.188:8089/hls/31/index.m3u8
CCTV13,http://14.19.142.188:8089/hls/32/index.m3u8
CCTV-14高清,http://14.19.142.188:8089/hls/33/index.m3u8
CCTV-15高清,http://14.19.142.188:8089/hls/34/index.m3u8
IPTV5＋高清,http://14.19.142.188:8089/hls/35/index.m3u8
CCTV-17农业高清,http://14.19.142.188:8089/hls/36/index.m3u8
湖南卫视高清,http://14.19.142.188:8089/hls/51/index.m3u8
浙江卫视高清,http://14.19.142.188:8089/hls/52/index.m3u8
江苏卫视高清,http://14.19.142.188:8089/hls/53/index.m3u8
北京卫视高清,http://14.19.142.188:8089/hls/54/index.m3u8
深圳卫视高清,http://14.19.142.188:8089/hls/55/index.m3u8
黑龙江卫视高清,http://14.19.142.188:8089/hls/56/index.m3u8
湖北卫视高清,http://14.19.142.188:8089/hls/57/index.m3u8
天津卫视高清,http://14.19.142.188:8089/hls/58/index.m3u8
山东卫视高清,http://14.19.142.188:8089/hls/59/index.m3u8
辽宁卫视高清,http://14.19.142.188:8089/hls/61/index.m3u8
四川卫视高清,http://14.19.142.188:8089/hls/62/index.m3u8
金鹰纪实高清,http://14.19.142.188:8089/hls/63/index.m3u8
重庆卫视高清,http://14.19.142.188:8089/hls/64/index.m3u8
安徽卫视高清,http://14.19.142.188:8089/hls/65/index.m3u8
贵州卫视高清,http://14.19.142.188:8089/hls/66/index.m3u8
河北卫视高清,http://14.19.142.188:8089/hls/69/index.m3u8
江西卫视高清,http://14.19.142.188:8089/hls/70/index.m3u8
金鹰卡通,http://14.19.142.188:8089/hls/73/index.m3u8
炫动卡通,http://14.19.142.188:8089/hls/74/index.m3u8
经典电影,http://14.19.142.188:8089/hls/99/index.m3u8
